Rank,Player,Country,Stat,Stat Category,Year
31,Australia,,37.21%,Checkout Pcnt,2018
32,Toni Alcinas,ESP,36%,Checkout Pcnt,2018
33,Japan,,35.71%,Checkout Pcnt,2018
34,Brendan Dolan,NIR,35.29%,Checkout Pcnt,2018
35,Gerwyn Price,WAL,34.48%,Checkout Pcnt,2018
36,Gary Anderson,SCO,34.43%,Checkout Pcnt,2018
37,Jonny Clayton,WAL,33.33%,Checkout Pcnt,2018
38,Steve Lennon,IRL,33.33%,Checkout Pcnt,2018
39,William O'Connor,IRL,33.33%,Checkout Pcnt,2018
40,Ireland,,33.33%,Checkout Pcnt,2018
41,Russia,,33.33%,Checkout Pcnt,2018
42,Warren Parry,NZL,33.33%,Checkout Pcnt,2018
43,Larry Butler,USA,33.33%,Checkout Pcnt,2018
44,Thanawat Gaweenuntavong,THA,33.33%,Checkout Pcnt,2018
45,Benny Simeonidis,GRE,33.33%,Checkout Pcnt,2018
46,Northern Ireland,,33.33%,Checkout Pcnt,2018
47,Paul Lim,SNG,32.14%,Checkout Pcnt,2018
48,Spain,,32%,Checkout Pcnt,2018
49,Rob Cross,ENG,31.91%,Checkout Pcnt,2018
50,Switzerland,,31.58%,Checkout Pcnt,2018
1,Pavel Jirkal,CZE,100%,Checkout Pcnt,2019
2,Diogo Portela,BRA,100%,Checkout Pcnt,2019
3,Aleksei Kadochnikov,,100%,Checkout Pcnt,2019
4,Marko Kantele,FIN,75%,Checkout Pcnt,2019
5,Magnus Caris,,66.67%,Checkout Pcnt,2019
6,Czechia,,66.67%,Checkout Pcnt,2019
7,Gary Anderson,SCO,62.96%,Checkout Pcnt,2019
8,Belgium,,62.5%,Checkout Pcnt,2019
9,Scotland,,60%,Checkout Pcnt,2019
10,Antony Lopez,,57.14%,Checkout Pcnt,2019
11,Poland,,55.56%,Checkout Pcnt,2019
12,Peter Wright,SCO,53.7%,Checkout Pcnt,2019
13,Dimitri Van den Bergh,BEL,50%,Checkout Pcnt,2019
14,Karel Sedláček,CZE,50%,Checkout Pcnt,2019
15,Italy,,50%,Checkout Pcnt,2019
16,Stefano Tomassetti,ITA,50%,Checkout Pcnt,2019
17,Andrea Micheletti,ITA,50%,Checkout Pcnt,2019
18,Lourence Ilagan,PHI,50%,Checkout Pcnt,2019
19,England,,50%,Checkout Pcnt,2019
20,Netherlands,,47.37%,Checkout Pcnt,2019
21,Jermaine Wattimena,NED,44.83%,Checkout Pcnt,2019
22,Mensur Suljović,AUT,43.48%,Checkout Pcnt,2019
23,Sweden,,41.67%,Checkout Pcnt,2019
24,Michael Smith,ENG,41.18%,Checkout Pcnt,2019
25,Brendan Dolan,NIR,40%,Checkout Pcnt,2019
26,Paul Lim,SNG,40%,Checkout Pcnt,2019
27,Finland,,40%,Checkout Pcnt,2019
28,Cody Harris,NZL,38.89%,Checkout Pcnt,2019
29,William O'Connor,IRL,38.71%,Checkout Pcnt,2019
30,Simon Whitlock,AUS,38.46%,Checkout Pcnt,2019
31,Ireland,,38.24%,Checkout Pcnt,2019
32,Jim Long,CAN,37.93%,Checkout Pcnt,2019
33,Martin Schindler,GER,37.5%,Checkout Pcnt,2019
34,Northern Ireland,,36.36%,Checkout Pcnt,2019
35,Australia,,35.71%,Checkout Pcnt,2019
36,Krzysztof Ratajski,POL,35.71%,Checkout Pcnt,2019
37,United States,,35.71%,Checkout Pcnt,2019
38,New Zealand,,34.62%,Checkout Pcnt,2019
39,Steve Lennon,IRL,34.48%,Checkout Pcnt,2019
40,Devon Petersen,RSA,34.38%,Checkout Pcnt,2019
41,Michael van Gerwen,NED,33.96%,Checkout Pcnt,2019
42,Daryl Gurney,NIR,33.33%,Checkout Pcnt,2019
43,Canada,,33.33%,Checkout Pcnt,2019
44,Austria,,33.33%,Checkout Pcnt,2019
45,Veniamin Symeonidis,GRE,33.33%,Checkout Pcnt,2019
46,János Végső,HUN,33.33%,Checkout Pcnt,2019
47,Haruki Muramatsu,JPN,33.33%,Checkout Pcnt,2019
48,Dawson Murschell,CAN,33.33%,Checkout Pcnt,2019
49,Germany,,33.33%,Checkout Pcnt,2019
50,Benny Simeonidis,GRE,33.33%,Checkout Pcnt,2019
1,Pavel Jirkal,CZE,100%,Checkout Pcnt,2019
2,Diogo Portela,BRA,100%,Checkout Pcnt,2019
3,Aleksei Kadochnikov,,100%,Checkout Pcnt,2019
4,Marko Kantele,FIN,75%,Checkout Pcnt,2019
5,Magnus Caris,,66.67%,Checkout Pcnt,2019
6,Czechia,,66.67%,Checkout Pcnt,2019
7,Gary Anderson,SCO,62.96%,Checkout Pcnt,2019
8,Belgium,,62.5%,Checkout Pcnt,2019
9,Scotland,,60%,Checkout Pcnt,2019
10,Antony Lopez,,57.14%,Checkout Pcnt,2019
11,Poland,,55.56%,Checkout Pcnt,2019
12,Peter Wright,SCO,53.7%,Checkout Pcnt,2019
13,Dimitri Van den Bergh,BEL,50%,Checkout Pcnt,2019
14,Karel Sedláček,CZE,50%,Checkout Pcnt,2019
15,Italy,,50%,Checkout Pcnt,2019
16,Stefano Tomassetti,ITA,50%,Checkout Pcnt,2019
17,Andrea Micheletti,ITA,50%,Checkout Pcnt,2019
18,Lourence Ilagan,PHI,50%,Checkout Pcnt,2019
19,England,,50%,Checkout Pcnt,2019
20,Netherlands,,47.37%,Checkout Pcnt,2019
21,Jermaine Wattimena,NED,44.83%,Checkout Pcnt,2019
22,Mensur Suljović,AUT,43.48%,Checkout Pcnt,2019
23,Sweden,,41.67%,Checkout Pcnt,2019
24,Michael Smith,ENG,41.18%,Checkout Pcnt,2019
25,Brendan Dolan,NIR,40%,Checkout Pcnt,2019
26,Paul Lim,SNG,40%,Checkout Pcnt,2019
27,Finland,,40%,Checkout Pcnt,2019
28,Cody Harris,NZL,38.89%,Checkout Pcnt,2019
29,William O'Connor,IRL,38.71%,Checkout Pcnt,2019
30,Simon Whitlock,AUS,38.46%,Checkout Pcnt,2019
31,Ireland,,38.24%,Checkout Pcnt,2019
32,Jim Long,CAN,37.93%,Checkout Pcnt,2019
33,Martin Schindler,GER,37.5%,Checkout Pcnt,2019
34,Northern Ireland,,36.36%,Checkout Pcnt,2019
35,Australia,,35.71%,Checkout Pcnt,2019
36,Krzysztof Ratajski,POL,35.71%,Checkout Pcnt,2019
37,United States,,35.71%,Checkout Pcnt,2019
38,New Zealand,,34.62%,Checkout Pcnt,2019
39,Steve Lennon,IRL,34.48%,Checkout Pcnt,2019
40,Devon Petersen,RSA,34.38%,Checkout Pcnt,2019
41,Michael van Gerwen,NED,33.96%,Checkout Pcnt,2019
42,Daryl Gurney,NIR,33.33%,Checkout Pcnt,2019
43,Canada,,33.33%,Checkout Pcnt,2019
44,Austria,,33.33%,Checkout Pcnt,2019
45,Veniamin Symeonidis,GRE,33.33%,Checkout Pcnt,2019
46,János Végső,HUN,33.33%,Checkout Pcnt,2019
47,Haruki Muramatsu,JPN,33.33%,Checkout Pcnt,2019
48,Dawson Murschell,CAN,33.33%,Checkout Pcnt,2019
49,Germany,,33.33%,Checkout Pcnt,2019
50,Benny Simeonidis,GRE,33.33%,Checkout Pcnt,2019
1,Brendan Dolan,NIR,100%,Checkout Pcnt,2020
2,Seigo Asada,JPN,100%,Checkout Pcnt,2020
3,Chuck Puleo,USA,100%,Checkout Pcnt,2020
4,Bruno Rangel,BRA,100%,Checkout Pcnt,2020
5,Northern Ireland,,66.67%,Checkout Pcnt,2020
6,William O'Connor,IRL,66.67%,Checkout Pcnt,2020
7,Greece,,62.5%,Checkout Pcnt,2020
8,Japan,,60%,Checkout Pcnt,2020
9,Krzysztof Ratajski,POL,53.85%,Checkout Pcnt,2020
10,Damon Heta,AUS,50%,Checkout Pcnt,2020
11,Daryl Gurney,NIR,50%,Checkout Pcnt,2020
12,Krzysztof Kciuk,POL,50%,Checkout Pcnt,2020
13,Poland,,50%,Checkout Pcnt,2020
14,Brazil,,50%,Checkout Pcnt,2020
15,Yuki Yamada,JPN,50%,Checkout Pcnt,2020
16,Craig Galliano,GIB,50%,Checkout Pcnt,2020
17,Lourence Ilagan,PHI,50%,Checkout Pcnt,2020
18,Philippines,,50%,Checkout Pcnt,2020
19,Portugal,,45.45%,Checkout Pcnt,2020
20,New Zealand,,45.45%,Checkout Pcnt,2020
21,Gabriel Clemens,GER,45.45%,Checkout Pcnt,2020
22,Jeff Smith,CAN,45%,Checkout Pcnt,2020
23,Karel Sedláček,CZE,44.44%,Checkout Pcnt,2020
24,Haupai Puha,NZL,42.86%,Checkout Pcnt,2020
25,Daniele Petri,ITA,42.86%,Checkout Pcnt,2020
26,Kim Huybrechts,BEL,42.5%,Checkout Pcnt,2020
27,Gerwyn Price,WAL,40.98%,Checkout Pcnt,2020
28,Rowby-John Rodriguez,AUT,40.74%,Checkout Pcnt,2020
29,Mindaugas Barauskas,LTH,40%,Checkout Pcnt,2020
30,United States,,40%,Checkout Pcnt,2020
31,Netherlands,,38.89%,Checkout Pcnt,2020
32,Danny Noppert,NED,38.71%,Checkout Pcnt,2020
33,Matt Campbell,CAN,38.46%,Checkout Pcnt,2020
34,Austria,,38.1%,Checkout Pcnt,2020
35,Michael Smith,ENG,37.93%,Checkout Pcnt,2020
36,Leung Kai Fan,HKG,37.5%,Checkout Pcnt,2020
37,Belgium,,37.5%,Checkout Pcnt,2020
38,Germany,,37.5%,Checkout Pcnt,2020
39,Gibraltar,,37.5%,Checkout Pcnt,2020
40,Michael van Gerwen,NED,37.04%,Checkout Pcnt,2020
41,Jonny Clayton,WAL,37.04%,Checkout Pcnt,2020
42,Mensur Suljović,AUT,36.36%,Checkout Pcnt,2020
43,Italy,,36.36%,Checkout Pcnt,2020
44,Wales,,36.36%,Checkout Pcnt,2020
45,Lithuania,,35.71%,Checkout Pcnt,2020
46,Simon Whitlock,AUS,35.48%,Checkout Pcnt,2020
47,Justin Hewitt,GIB,33.33%,Checkout Pcnt,2020
48,Ireland,,33.33%,Checkout Pcnt,2020
49,Canada,,33.33%,Checkout Pcnt,2020
50,José Marquês,POR,33.33%,Checkout Pcnt,2020
1,Brendan Dolan,NIR,100%,Checkout Pcnt,2020
2,Seigo Asada,JPN,100%,Checkout Pcnt,2020
3,Chuck Puleo,USA,100%,Checkout Pcnt,2020
4,Bruno Rangel,BRA,100%,Checkout Pcnt,2020
5,Northern Ireland,,66.67%,Checkout Pcnt,2020
6,William O'Connor,IRL,66.67%,Checkout Pcnt,2020
7,Greece,,62.5%,Checkout Pcnt,2020
8,Japan,,60%,Checkout Pcnt,2020
9,Krzysztof Ratajski,POL,53.85%,Checkout Pcnt,2020
10,Damon Heta,AUS,50%,Checkout Pcnt,2020
11,Daryl Gurney,NIR,50%,Checkout Pcnt,2020
12,Krzysztof Kciuk,POL,50%,Checkout Pcnt,2020
13,Poland,,50%,Checkout Pcnt,2020
14,Brazil,,50%,Checkout Pcnt,2020
15,Yuki Yamada,JPN,50%,Checkout Pcnt,2020
16,Craig Galliano,GIB,50%,Checkout Pcnt,2020
17,Lourence Ilagan,PHI,50%,Checkout Pcnt,2020
18,Philippines,,50%,Checkout Pcnt,2020
19,Portugal,,45.45%,Checkout Pcnt,2020
20,New Zealand,,45.45%,Checkout Pcnt,2020
21,Gabriel Clemens,GER,45.45%,Checkout Pcnt,2020
22,Jeff Smith,CAN,45%,Checkout Pcnt,2020
23,Karel Sedláček,CZE,44.44%,Checkout Pcnt,2020
24,Haupai Puha,NZL,42.86%,Checkout Pcnt,2020
25,Daniele Petri,ITA,42.86%,Checkout Pcnt,2020
26,Kim Huybrechts,BEL,42.5%,Checkout Pcnt,2020
27,Gerwyn Price,WAL,40.98%,Checkout Pcnt,2020
28,Rowby-John Rodriguez,AUT,40.74%,Checkout Pcnt,2020
29,Mindaugas Barauskas,LTH,40%,Checkout Pcnt,2020
30,United States,,40%,Checkout Pcnt,2020
31,Netherlands,,38.89%,Checkout Pcnt,2020
32,Danny Noppert,NED,38.71%,Checkout Pcnt,2020
33,Matt Campbell,CAN,38.46%,Checkout Pcnt,2020
34,Austria,,38.1%,Checkout Pcnt,2020
35,Michael Smith,ENG,37.93%,Checkout Pcnt,2020
36,Leung Kai Fan,HKG,37.5%,Checkout Pcnt,2020
37,Belgium,,37.5%,Checkout Pcnt,2020
38,Germany,,37.5%,Checkout Pcnt,2020
39,Gibraltar,,37.5%,Checkout Pcnt,2020
40,Michael van Gerwen,NED,37.04%,Checkout Pcnt,2020
41,Jonny Clayton,WAL,37.04%,Checkout Pcnt,2020
42,Mensur Suljović,AUT,36.36%,Checkout Pcnt,2020
43,Italy,,36.36%,Checkout Pcnt,2020
44,Wales,,36.36%,Checkout Pcnt,2020
45,Lithuania,,35.71%,Checkout Pcnt,2020
46,Simon Whitlock,AUS,35.48%,Checkout Pcnt,2020
47,Justin Hewitt,GIB,33.33%,Checkout Pcnt,2020
48,Ireland,,33.33%,Checkout Pcnt,2020
49,Canada,,33.33%,Checkout Pcnt,2020
50,José Marquês,POR,33.33%,Checkout Pcnt,2020
1,Karel Sedláček,CZE,100%,Checkout Pcnt,2021
2,Daniel Larsson,SWE,100%,Checkout Pcnt,2021
3,Adam Gawlas,CZE,100%,Checkout Pcnt,2021
4,Lourence Ilagan,PHI,100%,Checkout Pcnt,2021
5,Czechia,,100%,Checkout Pcnt,2021
6,Philippines,,100%,Checkout Pcnt,2021
7,Sean Negrette,GIB,66.67%,Checkout Pcnt,2021
8,Darius Labanauskas,LTH,57.89%,Checkout Pcnt,2021
9,Kim Huybrechts,BEL,55.56%,Checkout Pcnt,2021
10,Poland,,55.56%,Checkout Pcnt,2021
11,Australia,,55.56%,Checkout Pcnt,2021
12,Hugo Leung Man Lok,HKG,50%,Checkout Pcnt,2021
13,Michael van Gerwen,NED,50%,Checkout Pcnt,2021
14,Devon Petersen,RSA,50%,Checkout Pcnt,2021
15,Portugal,,50%,Checkout Pcnt,2021
16,Mensur Suljović,AUT,49.12%,Checkout Pcnt,2021
17,James Wade,ENG,48.15%,Checkout Pcnt,2021
18,Daniel Lauby Jr.,USA,46.15%,Checkout Pcnt,2021
19,Jose De Sousa,POR,44.44%,Checkout Pcnt,2021
20,Austria,,44.44%,Checkout Pcnt,2021
21,Gibraltar,,44.44%,Checkout Pcnt,2021
22,Wales,,41.38%,Checkout Pcnt,2021
23,Gerwyn Price,WAL,40.43%,Checkout Pcnt,2021
24,János Végső,HUN,40%,Checkout Pcnt,2021
25,Simon Whitlock,AUS,39.13%,Checkout Pcnt,2021
26,Scotland,,38.64%,Checkout Pcnt,2021
27,United States,,38.46%,Checkout Pcnt,2021
28,Netherlands,,38.1%,Checkout Pcnt,2021
29,Brendan Dolan,NIR,36.84%,Checkout Pcnt,2021
30,Dave Chisnall,ENG,36.36%,Checkout Pcnt,2021
31,Chuck Puleo,USA,36.36%,Checkout Pcnt,2021
32,Belgium,,35.71%,Checkout Pcnt,2021
33,John Henderson,SCO,35.71%,Checkout Pcnt,2021
34,South Africa,,35.71%,Checkout Pcnt,2021
35,Peter Wright,SCO,34.25%,Checkout Pcnt,2021
36,Jonny Clayton,WAL,34.21%,Checkout Pcnt,2021
37,John Michael,GRE,33.33%,Checkout Pcnt,2021
38,Krzysztof Kciuk,POL,33.33%,Checkout Pcnt,2021
39,Marko Kantele,FIN,33.33%,Checkout Pcnt,2021
40,Brazil,,33.33%,Checkout Pcnt,2021
41,Artur Valle,BRA,33.33%,Checkout Pcnt,2021
42,Finland,,33.33%,Checkout Pcnt,2021
43,Niels Heinsøe,DEN,33.33%,Checkout Pcnt,2021
44,Justin Hewitt,GIB,33.33%,Checkout Pcnt,2021
45,Boris Koltsov,RUS,33.33%,Checkout Pcnt,2021
46,Diogo Portela,BRA,33.33%,Checkout Pcnt,2021
47,José Justicia,ESP,33.33%,Checkout Pcnt,2021
48,Denmark,,33.33%,Checkout Pcnt,2021
49,Rowby-John Rodriguez,AUT,31.91%,Checkout Pcnt,2021
50,Hong Kong,,30.77%,Checkout Pcnt,2021
1,Karel Sedláček,CZE,100%,Checkout Pcnt,2021
2,Daniel Larsson,SWE,100%,Checkout Pcnt,2021
3,Adam Gawlas,CZE,100%,Checkout Pcnt,2021
4,Lourence Ilagan,PHI,100%,Checkout Pcnt,2021
5,Czechia,,100%,Checkout Pcnt,2021
6,Philippines,,100%,Checkout Pcnt,2021
7,Sean Negrette,GIB,66.67%,Checkout Pcnt,2021
8,Darius Labanauskas,LTH,57.89%,Checkout Pcnt,2021
9,Kim Huybrechts,BEL,55.56%,Checkout Pcnt,2021
10,Poland,,55.56%,Checkout Pcnt,2021
11,Australia,,55.56%,Checkout Pcnt,2021
12,Hugo Leung Man Lok,HKG,50%,Checkout Pcnt,2021
13,Michael van Gerwen,NED,50%,Checkout Pcnt,2021
14,Devon Petersen,RSA,50%,Checkout Pcnt,2021
15,Portugal,,50%,Checkout Pcnt,2021
16,Mensur Suljović,AUT,49.12%,Checkout Pcnt,2021
17,James Wade,ENG,48.15%,Checkout Pcnt,2021
18,Daniel Lauby Jr.,USA,46.15%,Checkout Pcnt,2021
19,Jose De Sousa,POR,44.44%,Checkout Pcnt,2021
20,Austria,,44.44%,Checkout Pcnt,2021
21,Gibraltar,,44.44%,Checkout Pcnt,2021
22,Wales,,41.38%,Checkout Pcnt,2021
23,Gerwyn Price,WAL,40.43%,Checkout Pcnt,2021
24,János Végső,HUN,40%,Checkout Pcnt,2021
25,Simon Whitlock,AUS,39.13%,Checkout Pcnt,2021
26,Scotland,,38.64%,Checkout Pcnt,2021
27,United States,,38.46%,Checkout Pcnt,2021
28,Netherlands,,38.1%,Checkout Pcnt,2021
