id,name,tournament_id,tournament_name,tournament_importance,season_id,season_name,round_id,round,status,status_type,home_team_id,home_team_name,home_team_hash_image,away_team_id,away_team_name,away_team_hash_image,home_team_score,away_team_score,times,specific_start_time,start_time,duration,class_id,class_name,class_hash_image,league_id,league_name,league_hash_image
1,Barlow J. vs White C.,15677.0,North American Darts Championship 2017,0,33898.0,North American Darts Championship 2017,343554.0,"{'id': 343554, 'name': 'Quarterfinals', 'round': 3, 'end_time': '2017-07-13', 'start_time': '2017-07-13'}","{'type': 'finished', 'reason': 'Ended'}",finished,61486.0,Barlow J.,35073d2ca3a5466f0306a1d92a0185fbd207b281950ad231cd8a0beb1e1135ad,61609.0,White C.,1dbc439970ff59d179ba9737379f535bf19d8880fcb5052cda5f1351ab72d1ea,"{'current': 1, 'display': 1, 'default_time': 1}","{'current': 6, 'display': 6, 'default_time': 6}",{'specific_start_time': '2017-07-13T19:30:34+00:00'},2017-07-13T19:30:34+00:00,2017-07-13T19:10:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,7591,North American Darts Championship 2017,1372883ea69b21956b13b91bd971131eecf872a7e8cf107894485d2a9a41b27c
2,Richardson D. vs Brenneman S.,15677.0,North American Darts Championship 2017,0,33898.0,North American Darts Championship 2017,343554.0,"{'id': 343554, 'name': 'Quarterfinals', 'round': 3, 'end_time': '2017-07-13', 'start_time': '2017-07-13'}","{'type': 'finished', 'reason': 'Ended'}",finished,61740.0,Richardson D.,57efbe3d1da795187936d8f73cac624023955d15a3c2fb0cc9d970ee47920f3a,61783.0,Brenneman S.,73677a4d623789ae8405e309b2871483f26d9ae2997f3c3b26026c299ace0dbb,"{'current': 6, 'display': 6, 'default_time': 6}","{'current': 1, 'display': 1, 'default_time': 1}",{'specific_start_time': '2017-07-13T19:56:24+00:00'},2017-07-13T19:56:24+00:00,2017-07-13T19:40:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,7591,North American Darts Championship 2017,1372883ea69b21956b13b91bd971131eecf872a7e8cf107894485d2a9a41b27c
3,Sayre D. vs Bruguier W.,15677.0,North American Darts Championship 2017,0,33898.0,North American Darts Championship 2017,343554.0,"{'id': 343554, 'name': 'Quarterfinals', 'round': 3, 'end_time': '2017-07-13', 'start_time': '2017-07-13'}","{'type': 'finished', 'reason': 'Ended'}",finished,61869.0,Sayre D.,4ff145cfd08ae7f65cffe3863688c4ad608fdac8911ee08fdf7749c67ee0d453,61890.0,Bruguier W.,79fc038a709aeb840a1173412e21eb07d85264fb939c2e85cbbb25ca248c8056,"{'current': 3, 'display': 3, 'default_time': 3}","{'current': 6, 'display': 6, 'default_time': 6}",{'specific_start_time': '2017-07-13T20:29:51+00:00'},2017-07-13T20:29:51+00:00,2017-07-13T20:05:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,7591,North American Darts Championship 2017,1372883ea69b21956b13b91bd971131eecf872a7e8cf107894485d2a9a41b27c
4,Cameron D. vs Murschell D.,15677.0,North American Darts Championship 2017,0,33898.0,North American Darts Championship 2017,343554.0,"{'id': 343554, 'name': 'Quarterfinals', 'round': 3, 'end_time': '2017-07-13', 'start_time': '2017-07-13'}","{'type': 'finished', 'reason': 'Ended'}",finished,61961.0,Cameron D.,dc2e83360edf61d981d04931f721957debbc922c156ce1b9abf257501b3d9bf4,61982.0,Murschell D.,34d2094290afa30c3904ad9e535949862a96688b842fa6b553b479447c320923,"{'current': 5, 'display': 5, 'default_time': 5}","{'current': 6, 'display': 6, 'default_time': 6}",{'specific_start_time': '2017-07-13T21:08:07+00:00'},2017-07-13T21:08:07+00:00,2017-07-13T20:40:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,7591,North American Darts Championship 2017,1372883ea69b21956b13b91bd971131eecf872a7e8cf107894485d2a9a41b27c
5,White C. vs Richardson D.,15677.0,North American Darts Championship 2017,0,33898.0,North American Darts Championship 2017,343557.0,"{'id': 343557, 'name': 'Semifinals', 'round': 2, 'end_time': '2017-07-13', 'start_time': '2017-07-13'}","{'type': 'finished', 'reason': 'Ended'}",finished,61609.0,White C.,1dbc439970ff59d179ba9737379f535bf19d8880fcb5052cda5f1351ab72d1ea,61740.0,Richardson D.,57efbe3d1da795187936d8f73cac624023955d15a3c2fb0cc9d970ee47920f3a,"{'current': 1, 'display': 1, 'default_time': 1}","{'current': 6, 'display': 6, 'default_time': 6}",{'specific_start_time': '2017-07-13T21:37:39+00:00'},2017-07-13T21:37:39+00:00,2017-07-13T21:15:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,7591,North American Darts Championship 2017,1372883ea69b21956b13b91bd971131eecf872a7e8cf107894485d2a9a41b27c
6,Bruguier W. vs Murschell D.,15677.0,North American Darts Championship 2017,0,33898.0,North American Darts Championship 2017,343557.0,"{'id': 343557, 'name': 'Semifinals', 'round': 2, 'end_time': '2017-07-13', 'start_time': '2017-07-13'}","{'type': 'finished', 'reason': 'Ended'}",finished,61890.0,Bruguier W.,79fc038a709aeb840a1173412e21eb07d85264fb939c2e85cbbb25ca248c8056,61982.0,Murschell D.,34d2094290afa30c3904ad9e535949862a96688b842fa6b553b479447c320923,"{'current': 6, 'display': 6, 'default_time': 6}","{'current': 3, 'display': 3, 'default_time': 3}",{'specific_start_time': '2017-07-13T22:13:55+00:00'},2017-07-13T22:13:55+00:00,2017-07-13T21:45:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,7591,North American Darts Championship 2017,1372883ea69b21956b13b91bd971131eecf872a7e8cf107894485d2a9a41b27c
7,Richardson D. vs Bruguier W.,15677.0,North American Darts Championship 2017,0,33898.0,North American Darts Championship 2017,343560.0,"{'id': 343560, 'name': 'Final', 'round': 1, 'end_time': '2017-07-13', 'start_time': '2017-07-13'}","{'type': 'finished', 'reason': 'Ended'}",finished,61740.0,Richardson D.,57efbe3d1da795187936d8f73cac624023955d15a3c2fb0cc9d970ee47920f3a,61890.0,Bruguier W.,79fc038a709aeb840a1173412e21eb07d85264fb939c2e85cbbb25ca248c8056,"{'current': 5, 'display': 5, 'default_time': 5}","{'current': 6, 'display': 6, 'default_time': 6}",{'specific_start_time': '2017-07-13T23:05:58+00:00'},2017-07-13T23:05:58+00:00,2017-07-13T22:30:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,7591,North American Darts Championship 2017,1372883ea69b21956b13b91bd971131eecf872a7e8cf107894485d2a9a41b27c
8,Sherrock F. vs Evans D.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,1994.0,Sherrock F.,22dcfe3d9734d8f7d0d2ece20ade65b5ba8fe316d9d7d66a6dc011808f1cff49,,Evans D.,81184f513fe0dae3557417394c040c72198fce7ab45604fcad732019a9d3c48b,"{'current': 2, 'display': 2, 'default_time': 2}","{'current': 4, 'display': 4, 'default_time': 4}",{'specific_start_time': '2023-10-25T10:53:58+00:00'},2023-10-25T10:53:58+00:00,2023-10-25T10:40:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
9,Adams M. vs Schroder S.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,47529.0,Adams M.,d6a1018c13fd2eea03a7e040cdb15495e0aea24656b59ae62ab9a6d21dcdd5e4,,Schroder S.,77d55d4ecf975981a6e04070c2e40e9679c2a484a6c51c4062c55518e8fb74ca,"{'current': 2, 'display': 2, 'default_time': 2}","{'current': 4, 'display': 4, 'default_time': 4}",{'specific_start_time': '2023-10-25T09:17:56+00:00'},2023-10-25T09:17:56+00:00,2023-10-25T08:55:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
10,Sherrock F. vs Adams M.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,1994.0,Sherrock F.,22dcfe3d9734d8f7d0d2ece20ade65b5ba8fe316d9d7d66a6dc011808f1cff49,47529.0,Adams M.,d6a1018c13fd2eea03a7e040cdb15495e0aea24656b59ae62ab9a6d21dcdd5e4,"{'current': 4, 'display': 4, 'default_time': 4}","{'current': 0, 'display': 0, 'default_time': 0}",{'specific_start_time': '2023-10-25T09:55:30+00:00'},2023-10-25T09:55:30+00:00,2023-10-25T09:40:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
11,Adams M. vs Huntley M.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,47529.0,Adams M.,d6a1018c13fd2eea03a7e040cdb15495e0aea24656b59ae62ab9a6d21dcdd5e4,82165.0,Huntley M.,c3242502cee95ce2dc8c8abab92b703ebca6b4b16fe164c460bc32703f048229,"{'current': 4, 'display': 4, 'default_time': 4}","{'current': 3, 'display': 3, 'default_time': 3}",{'specific_start_time': '2023-10-25T11:18:22+00:00'},2023-10-25T11:18:22+00:00,2023-10-25T10:55:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
12,Sherrock F. vs Huntley M.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,1994.0,Sherrock F.,22dcfe3d9734d8f7d0d2ece20ade65b5ba8fe316d9d7d66a6dc011808f1cff49,82165.0,Huntley M.,c3242502cee95ce2dc8c8abab92b703ebca6b4b16fe164c460bc32703f048229,"{'current': 2, 'display': 2, 'default_time': 2}","{'current': 4, 'display': 4, 'default_time': 4}",{'specific_start_time': '2023-10-25T13:20:09+00:00'},2023-10-25T13:20:09+00:00,2023-10-25T13:00:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
13,Adams M. vs Schroder S.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,47529.0,Adams M.,d6a1018c13fd2eea03a7e040cdb15495e0aea24656b59ae62ab9a6d21dcdd5e4,,Schroder S.,77d55d4ecf975981a6e04070c2e40e9679c2a484a6c51c4062c55518e8fb74ca,"{'current': 1, 'display': 1, 'default_time': 1}","{'current': 4, 'display': 4, 'default_time': 4}",{'specific_start_time': '2023-10-24T09:49:21+00:00'},2023-10-24T09:49:21+00:00,2023-10-24T09:30:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
14,Adams M. vs Huntley M.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,47529.0,Adams M.,d6a1018c13fd2eea03a7e040cdb15495e0aea24656b59ae62ab9a6d21dcdd5e4,82165.0,Huntley M.,c3242502cee95ce2dc8c8abab92b703ebca6b4b16fe164c460bc32703f048229,"{'current': 4, 'display': 4, 'default_time': 4}","{'current': 3, 'display': 3, 'default_time': 3}",{'specific_start_time': '2023-10-24T12:07:15+00:00'},2023-10-24T12:07:15+00:00,2023-10-24T11:40:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
15,Sherrock F. vs Robbe M.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,1994.0,Sherrock F.,22dcfe3d9734d8f7d0d2ece20ade65b5ba8fe316d9d7d66a6dc011808f1cff49,82160.0,Robbe M.,269838f12b2a5fc8fe66eeff4834cc82c4801068c6cdfe65b4d0905cc1d06e3b,"{'current': 4, 'display': 4, 'default_time': 4}","{'current': 2, 'display': 2, 'default_time': 2}",{'specific_start_time': '2023-10-24T13:09:27+00:00'},2023-10-24T13:09:27+00:00,2023-10-24T12:50:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
16,Sherrock F. vs Adams M.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,1994.0,Sherrock F.,22dcfe3d9734d8f7d0d2ece20ade65b5ba8fe316d9d7d66a6dc011808f1cff49,47529.0,Adams M.,d6a1018c13fd2eea03a7e040cdb15495e0aea24656b59ae62ab9a6d21dcdd5e4,"{'current': 4, 'display': 4, 'default_time': 4}","{'current': 1, 'display': 1, 'default_time': 1}",{'specific_start_time': '2023-10-24T10:51:02+00:00'},2023-10-24T10:51:02+00:00,2023-10-24T10:35:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
17,Schroder S. vs Huntley M.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,82167.0,Schroder S.,77d55d4ecf975981a6e04070c2e40e9679c2a484a6c51c4062c55518e8fb74ca,,Huntley M.,c3242502cee95ce2dc8c8abab92b703ebca6b4b16fe164c460bc32703f048229,"{'current': 4, 'display': 4, 'default_time': 4}","{'current': 3, 'display': 3, 'default_time': 3}",{'specific_start_time': '2023-10-25T10:34:28+00:00'},2023-10-25T10:34:28+00:00,2023-10-25T10:15:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
18,Schroder S. vs Evans D.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,82167.0,Schroder S.,77d55d4ecf975981a6e04070c2e40e9679c2a484a6c51c4062c55518e8fb74ca,82162.0,Evans D.,81184f513fe0dae3557417394c040c72198fce7ab45604fcad732019a9d3c48b,"{'current': 0, 'display': 0, 'default_time': 0}","{'current': 4, 'display': 4, 'default_time': 4}",{'specific_start_time': '2023-10-25T12:38:52+00:00'},2023-10-25T12:38:52+00:00,2023-10-25T12:30:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
19,Schroder S. vs Sherrock F.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,82167.0,Schroder S.,77d55d4ecf975981a6e04070c2e40e9679c2a484a6c51c4062c55518e8fb74ca,1994.0,Sherrock F.,22dcfe3d9734d8f7d0d2ece20ade65b5ba8fe316d9d7d66a6dc011808f1cff49,"{'current': 4, 'display': 4, 'default_time': 4}","{'current': 3, 'display': 3, 'default_time': 3}",{'specific_start_time': '2023-10-25T12:12:47+00:00'},2023-10-25T12:12:47+00:00,2023-10-25T11:55:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
20,Huntley M. vs Evans D.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,,Huntley M.,c3242502cee95ce2dc8c8abab92b703ebca6b4b16fe164c460bc32703f048229,82162.0,Evans D.,81184f513fe0dae3557417394c040c72198fce7ab45604fcad732019a9d3c48b,"{'current': 1, 'display': 1, 'default_time': 1}","{'current': 4, 'display': 4, 'default_time': 4}",{'specific_start_time': '2023-10-24T11:24:19+00:00'},2023-10-24T11:24:19+00:00,2023-10-24T11:10:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
21,Huntley M. vs Evans D.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,,Huntley M.,c3242502cee95ce2dc8c8abab92b703ebca6b4b16fe164c460bc32703f048229,82162.0,Evans D.,81184f513fe0dae3557417394c040c72198fce7ab45604fcad732019a9d3c48b,"{'current': 2, 'display': 2, 'default_time': 2}","{'current': 4, 'display': 4, 'default_time': 4}",{'specific_start_time': '2023-10-25T09:40:00+00:00'},2023-10-25T09:40:00+00:00,2023-10-25T09:20:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
22,Schroder S. vs Sherrock F.,1357.0,Online Live League,0,35553.0,Modus Darts Online Live League,,,"{'type': 'finished', 'reason': 'Ended'}",finished,82167.0,Schroder S.,77d55d4ecf975981a6e04070c2e40e9679c2a484a6c51c4062c55518e8fb74ca,1994.0,Sherrock F.,22dcfe3d9734d8f7d0d2ece20ade65b5ba8fe316d9d7d66a6dc011808f1cff49,"{'current': 4, 'display': 4, 'default_time': 4}","{'current': 1, 'display': 1, 'default_time': 1}",{'specific_start_time': '2023-10-24T11:39:12+00:00'},2023-10-24T11:39:12+00:00,2023-10-24T11:25:00+00:00,9000,109,International,f465b7ab362e9ce16602bf421652b302b3b12cb0c1af67bb767a9befd50bc959,4097,Modus Darts Online Live League,27502c4272836ecd564795574a104cfc78edc0800eb8ae6917e5c76078abb3a8
