Aktuelle Position,Name,Preisgeld
1,Gerwyn Price,"£1,256,750"
2,Peter Wright,"£1,191,500"
3,Michael van Gerwen,"£831,750"
4,James Wade,"£489,750"
5,Dimitri Van den Bergh,"£443,750"
6,Gary Anderson,"£422,500"
7,Jose de Sousa,"£412,250"
8,Jonny Clayton,"£405,250"
9,Michael Smith,"£355,750"
10,Nathan Aspinall,"£350,000"
11,Rob Cross,"£337,000"
12,Krzysztof Ratajski,"£320,250"
13,Joe Cullen,"£303,750"
14,Dave Chisnall,"£288,000"
15,Ryan Searle,"£251,250"
16,Stephen Bunting,"£244,250"
17,Dirk van Duijvenbode,"£236,750"
18,Danny Noppert,"£233,750"
19,Luke Humphries,"£224,500"
20,Simon Whitlock,"£219,750"
21,Mervyn King,"£216,250"
22,Daryl Gurney,"£213,250"
23,Brendan Dolan,"£206,000"
24,Glen Durrant,"£204,500"
25,Gabriel Clemens,"£200,750"
26,Mensur Suljovic,"£192,000"
27,Ian White,"£190,000"
28,Devon Petersen,"£188,000"
29,Vincent van der Voort,"£168,000"
30,Chris Dobey,"£156,500"
31,Damon Heta,"£152,250"
32,Kim Huybrechts,"£133,000"
33,Darius Labanauskas,"£128,500"
34,Ross Smith,"£126,750"
35,Adrian Lewis,"£126,750"
36,Callan Rydz,"£125,250"
37,Jermaine Wattimena,"£123,750"
38,Ryan Joyce,"£120,500"
39,Jeffrey de Zwaan,"£117,750"
40,Ricky Evans,"£113,000"
41,Jamie Hughes,"£111,250"
42,William O’Connor,"£101,250"
43,Steve Beaton,"£90,000"
44,Luke Woodhouse,"£81,250"
45,John Henderson,"£73,750"
46,Steve West,"£73,500"
47,Max Hopp,"£73,000"
48,Adam Hunt,"£72,500"
49,Madars Razma,"£70,750"
50,Martijn Kleermaker,"£70,500"
51,Keegan Brown,"£70,000"
52,Steve Lennon,"£67,500"
53,Jason Lowe,"£65,500"
54,Andy Boulton,"£64,000"
55,Ron Meulenkamp,"£64,000"
56,Maik Kuivenhoven,"£55,750"
57,Mickey Mansell,"£52,000"
58,Jeff Smith,"£51,500"
59,Jelle Klaasen,"£51,000"
60,Darren Webster,"£48,000"
61,Scott Waites,"£46,500"
62,Matthew Edgar,"£44,750"
63,Justin Pipe,"£44,000"
64,Boris Krcmar,"£42,500"
65,William Borland,"£42,000"
66,Karel Sedlacek,"£40,500"
67,Ryan Murray,"£40,250"
68,Raymond van Barneveld,"£38,500"
69,Martin Schindler,"£38,000"
70,Mike De Decker,"£38,000"
71,Ryan Meikle,"£37,750"
72,Bradley Brooks,"£36,000"
73,Wayne Jones,"£35,500"
74,Josh Payne,"£35,000"
75,Ted Evetts,"£34,750"
76,Andy Hamilton,"£34,000"
77,Alan Soutar,"£32,000"
78,Nick Kenny,"£32,000"
79,Rowby-John Rodriguez,"£31,500"
80,Ritchie Edhouse,"£30,250"
81,Scott Mitchell,"£30,000"
82,Derk Telnekes,"£30,000"
83,Lisa Ashton,"£28,000"
84,James Wilson,"£25,500"
85,Keane Barry,"£25,250"
86,Alan Tabern,"£25,250"
87,Florian Hempel,"£24,000"
88,Mark McGeeney,"£22,500"
89,Peter Jacques,"£21,500"
90,Ciaran Teehan,"£21,500"
91,Rusty-Jake Rodriguez,"£21,000"
92,Kai Fan Leung,"£20,500"
93,Lewis Williams,"£20,250"
94,Fallon Sherrock,"£20,000"
95,Joe Murnan,"£20,000"
96,Krzysztof Kciuk,"£19,250"
97,Steve Brown,"£18,250"
98,Jason Heaver,"£17,500"
99,Adam Gawlas,"£17,500"
100,Cristo Reyes,"£17,500"
101,Chas Barstow,"£17,000"
102,Jesus Noguera,"£16,750"
103,Kevin Doets,"£16,000"
104,Martin Atkins,"£15,000"
105,Daniel Larsson,"£12,500"
106,Eddie Lovely,"£11,500"
107,Niels Zonneveld,"£10,750"
108,Aaron Beeney,"£10,500"
109,Gordon Mathers,"£10,500"
110,Nathan Rafferty,"£10,000"
111,Geert De Vos,"£10,000"
112,Martin Lukeman,"£9,500"
113,Robert Thornton,"£9,000"
114,Gary Blades,"£9,000"
115,Adam Smith-Neale,"£9,000"
116,Jim Williams,"£8,500"
117,Danny Baggish,"£8,000"
118,Andrew Gilding,"£8,000"
119,Boris Koltsov,"£8,000"
120,Geert Nentjes,"£8,000"
121,Luc Peters,"£8,000"
122,John Brown,"£8,000"
123,Martin Thomas,"£7,500"
124,Jack Main,"£7,000"
125,John Michael,"£6,750"
126,Jon Worsley,"£6,500"
127,Jim McEwan,"£6,000"
128,Peter Hudson,"£6,000"
129,David Evans,"£6,000"
130,Berry van Peer,"£6,000"
131,Zoran Lerchbacher,"£6,000"
132,Steffen Siepmann,"£5,500"
133,Jose Justicia,"£5,000"
134,Brett Claydon,"£5,000"
135,Harald Leitinger,"£5,000"
136,Kirk Shepherd,"£4,500"
137,Joe Davis,"£4,000"
138,Matt Campbell,"£4,000"
139,Michael Rasztovits,"£4,000"
140,Gino Vos,"£4,000"
141,Darren Penhall,"£4,000"
142,Wesley Harms,"£4,000"
143,Gavin Carlin,"£3,500"
144,Jake Jones,"£3,500"
145,Sean Fisher,"£3,000"
146,Christian Kist,"£3,000"
147,Ryan de Vreede,"£2,500"
148,Kevin McDine,"£2,500"
149,Lukas Wenig,"£2,500"
150,Sebastian Bialecki,"£2,500"
151,Andreas Harrysson,"£2,000"
152,Kenny Neyens,"£2,000"
153,Richard Veenstra,"£2,000"
154,Benito van de Pas,"£2,000"
155,Vincent van der Meer,"£2,000"
156,Carl Wilkinson,"£1,500"
157,Michael Unterbuchner,"£1,500"
158,Scott Williams,"£1,000"
159,Davy Proosten,"£1,000"
160,Craig Galliano,"£1,000"
161,Dyson Parody,"£1,000"
162,Justin Broton,"£1,000"
163,Justin Hewitt,"£1,000"
164,Patrik Kovacs,"£1,000"
165,Gabor Jagicza,"£1,000"
166,Janos Vegso,"£1,000"
167,Johan Engstrom,"£1,000"
168,Jozsef Rucska,"£1,000"
169,Peter Strbik,"£1,000"
170,Thomas Lovely,"£1,000"
171,Shane McGuirk,"£1,000"
172,Lorenzo Pronk,"£1,000"
173,Pero Ljubic,"£1,000"
174,Robert Marijanovic,"£1,000"
175,Mike Warburton,"£1,000"
176,Rhys Griffin,"£1,000"
177,Scott Taylor,"£1,000"
178,Patrick van den Boogaard,£500
179,Michal Smejda,£500
