Geburtstag,Plays since,Profi since,Nationality,Handedness,Darts gramm,Name,Name S.
05.10.1970,2008,,Neuseeland,Rechtshänder,21g,Craig Ross,Ross C.
03.02.1995,,,Deutschland,Rechtshänder,,Franz Rötzsch,Rötzsch F.
,,,Wales,Rechtshänder,,Richard-Eirig Rowlands,Rowlands R.
03.06.1963,2003,2011,England,Rechtshänder,,Paul Rowley,Rowley P.
04.09.1974,,,England,Rechtshänder,Shot 22g,Alex Roy,Roy A.
,,,Schweiz,Rechtshänder,,Philipp Ruckstuhl,Ruckstuhl P.
18.12.1974,2007,,Ungarn,Rechtshänder,,József Rucska,Rucska J.
21.01.1983,1999,,Niederlande,Rechtshänder,John Part 25g,Niels de Ruiter,de Ruiter N.
31.07.1966,1988,,Spanien,Rechtshänder,,Francisco Ruiz,Ruiz F.
25.04.2000,2021,,Deutschland,Rechtshänder,,Pascal Rupprecht,Rupprecht P.
28.12.1966,,1994,Australien,Rechtshänder,21g Puma Signature,Loz Ryder,Ryder L.
03.07.1998,2013,2020,England,Rechtshänder,Unicorn 22g,Callan Rydz,Rydz C.
,,,Bahrain,Rechtshänder,,Abdulla Saeed,Saeed A.
27.05.1977,1990,,Schweden,Rechtshänder,24g Jim Pike,Peter Sajwani,Sajwani P.
26.01.1982,,,Südafrika,Rechtshänder,Shot Darts 22g,Grant Sampson,Sampson G.
20.01.1961,,,England,Linkshänder,,Lionel Sams,Sams L.
25.09.1963,1995,,Malaysia,Rechtshänder,24g Target Signature,Mohd Latif Sapup,Latif Sapup M.
,2021,,Ungarn,Rechtshänder,,Levente Sárai,Sárai L.
03.02.1975,1993,,Brasilien,Rechtshänder,,Alexandre Sattin,Sattin A.
14.10.1969,1994,,USA,Rechtshänder,22g Target,Tom Sawyer ,Sawyer T.
04.03.1992,2012,,Südafrika,Rechtshänder,22g,Warrick Scheffer,Scheffer W.
,,,Tschechien,Rechtshänder,,Vaclav Schieferdecker,Schieferdecker V.
02.10.1993,2011,,Niederlande,Rechtshänder,MasterDarts 30g,Jimmy van Schie,van Schie J.
,2017,,Deutschland,Rechtshänder,,Nils Schierbrock,Schierbrock N.
16.08.1996,,2017,Deutschland,Rechtshänder,,Martin Schindler,Schindler M.
07.11.2002,2017,,Deutschland,Rechtshänder,Loxley Darts 22g,David Schlichting,Schlichting D.
12.04.2000,2014,,Deutschland,Rechtshänder,Target Nico Schlund 22g,Nico Schlund,Schlund N.
19.10.2005,2019,,Deutschland,Rechtshänder,One80 Fabian Schmutzler 24g,Fabian Schmutzler,Schmutzler F.
23.03.1977,1992,,Österreich,Rechtshänder,,Hannes Schnier,Schnier H.
11.01.1965,1990,2001,Niederlande,Rechtshänder,Datadart Roland Scholten 21g,Roland Scholten,Scholten R.
12.09.1973,,,Deutschland,Rechtshänder,,Nico Schunke,Schunke N.
05.11.1989,,,Belgien,Rechtshänder,Cosmo Darts 22g,Francois Schweyen,Schweyen F.
17.02.1981,1997,,England,Rechtshänder,Dogs of War - WAR 4 19g,John Scott,Scott J.
15.04.1996,2014,2022,England,Rechtshänder,RedDragon 22g,Connor Scutt,Scutt C.
21.10.1987,2011,2017,England,Rechtshänder,Harrows 32g,Ryan Searle,Searle R.
18.05.1995,,,Tschechien,Rechtshänder,Lunar Red Dragon 21g,Filip Sebesta,Sebesta F.
17.02.1979,2007,2018,Tschechien,Rechtshänder,Shot 22g,Karel Sedlacek,Sedlacek K.
05.02.1991,2009,,Tschechien,Rechtshänder,,Vitezslav Sedlak,Sedlak V.
28.04.1978,,,,Rechtshänder,,Ioannis Selachoglou,Selachoglou I.
,2018,,England,,Loxley Darts,Jaikob Selby-Rivas,Selby-Rivas J.
17.11.2009,,,England,Linkshänder,,Archie Self,Self A.
02.03.1984,1992,,Deutschland,Rechtshänder,22g Winmau Sabotage,Benny Sensenschmidt,Sensenschmidt B.
,,,USA,Rechtshänder,Red Dragon 22g,Adam Sevada,Sevada A.
,1983,2006,Deutschland,Rechtshänder,,Tomas Seyler,Seyler T.
22.09.1968,1997,,Malaysia,Rechtshänder,,Tengku Shah,Shah T.
05.10.1986,1999,,England,,Unicorn Kirk Shepherd 21g,Kirk Shepherd,Shepherd K.
16.02.1984,,,England,Rechtshänder,,Lee Shewan,Shewan L.
03.12.1986,,,Japan,Rechtshänder,,Toyokazu Shibata,Shibata T.
02.08.1979,2000,,Japan,Rechtshänder,23g Target,Hiroaki Shimizu,Shimizu H.
16.09.1986,2005,,Deutschland,Rechtshänder,Karella,Steffen Siepmann,Siepmann S.
03.12.1968,1992,,England,Linkshänder,24g,Kevin Simm,Simm K.
02.12.1971,1994,,Australien,Rechtshänder,22g Puma Signature,Eddy Sims,Sims E.
19.11.2002,,2023,Irland,Linkshänder,Mission Darts,Dylan Slevin,Slevin D.
13.03.1983,2015,,Tschechien,Rechtshänder,,Michal Smejda,Smejda M.
22.06.1967,1974,2004,Enland,Rechtshänder,,Andy Smith,Smith A.
31.01.1964,1980,,Neuseeland,Rechtshänder,14g Puma Signature,Bernie Smith,Smith B.
02.08.1969,1978,,England,Rechtshänder,Nickel Tungsten 22g,Dennis Smith,Smith D.
06.11.1975,1979,2008,Kanada,Rechtshänder,Cosmo Darts Signature 21g,Jeff Smith,Smith J.
05.07.1997,2015,,Wales,Rechtshänder,Black Razor Edge 22g,Justin Smith,Smith J.
,2017,,Australien,Linkshänder,Shot Darts 24g,Ky Smith,Smith K.
18.09.1990,2006,2008,England,Rechtshänder,Shot 24g,Michael Smith,Smith M.
06.12.1979,,2008,Australier,Rechtshänder,Shot 22g,Raymond Smith,Smith R.
12.01.1989,2003,2010,England,Rechtshänder,Unicorn 22g,Ross Smith,Smith R.
29.10.1993,2010,,England,Rechtshänder,Red Dragon 22g,Adam Smith-Neale,Smith-Neale A.
17.10.1979,,,Tschechien,Rechtshänder,Cuesoul,Dalibor Smolik,Smolik D.
21.05.1971,1995,,Kanada,Rechtshänder,Cosmo 23g,Ross Snook,Snook R.
,,,Neuseeland,Rechtshänder,,Daniel Snookes,Snookes D.
,,,Philippinen,Rechtshänder,,Sandro Eric Sosing,Eric Sosing S.
25.02.1974,1993,2019,Portugal,Rechtshänder,Trinidad Signature 20g,Jose de Sousa,de Sousa J.
10.01.1978,1992,2021,Schottland,Rechtshänder,Mission Darts,Alan Soutar,Soutar A.
08.09.1993,2010,2016,Niederlande,Rechtshänder,Cosmo Darts 24g,Jeffrey Sparidaans,Sparidaans J.
06.11.1988,,,USA,Rechtshänder,Winmau 22g,Alex Spellman,Spellman A.
20.12.1961,,,Dänemark,Rechtshänder,,Ivan Springborg Poulsen,Springborg Poulsen I.
13.07.1986,,,USA,Rechtshänder,,Jeff Springer Jr.,Springer Jr. J.
11.07.2000,,,Deutschland,Rechtshänder,,Niko Springer,Springer N.
11.02.1994,2008,,Deutschland,Rechtshänder,Elimate,Daniel Sprudzs,Sprudzs D.
,2011,,England,Linkshänder,,Simon Stainton,Stainton S.
19.10.1984,,,Deutschland,Rechtshänder,Jochen Weißmann Handmade Sascha Stein,Sascha Stein,Stein S.
06.11.2008,,,Niederlande,Rechtshänder,,Kendji Steinbach,Steinbach K.
17.11.1973,,,Österreich,Rechtshänder,21g,Alex Steinbauer,Steinbauer A.
18.02.1972,1990,2014,England,Rechtshänder,Bristows 23g,Simon Stevenson,Stevenson S.
18.02.1980,2018,,Polen,Rechtshänder,,Sebastian Steyer,Steyer S.
18.04.1971,,,Schweiz,Rechtshänder,,Bruno Stöckli,Stöckli B.
10.09.1962,,,Niederlande,Rechtshänder,Grad Slam 22g,Co Stompé,Stompé C.
16.06.1981,1997,2012,Schottland,Rechtshänder,Unicorn Neon 21 G,Gary Stone,Stone G.
23.03.1972,,,Deutschland,Rechtshänder,,Stefan Stoyke,Stoyke S.
18.02.2004,2017,,Deutschland,Rechtshänder,,Sascha Stuhlemmer,Stuhlemmer S.
,1997,,Ungarn,Rechtshänder,,Péter Strbik,Strbik P.
,,,Belgien,,,Steven Strobbe,Strobbe S.
,,,Österreich,Rechtshänder,,Rainer Sturm,Sturm R.
05.03.1972,1989,2008,Österreich,Rechtshänder,Legend Darts Mensur Suljovic 25g,Mensur Suljovic,Suljovic M.
09.03.1970,1992,,Chinese,Rechtshänder,18g Cosmo Darts,Qiang Sun,Sun Q.
07.10.1987,2012,2012,Japan,Rechtshänder,,Toru Suzuki,Suzuki T.
03.06.1990,2023,,Bahamas,Rechtshänder,,Rashad Sweeting,Sweeting R.
26.08.1963,,,Griechenland,Rechtshänder,,Veniamin Symeonidis,Symeonidis V.
29.10.1965,2002,Semi-Profi,Neuseeland,Rechtshänder,,Rob Szabo,Szabo R.
17.10.1979,2008,2022,Polen,Rechtshänder,,Radek Szaganski,Szaganski R.
14.11.1972,2006,,Ungarn,Rechtshänder,Target,Pál Székely,Székely P.
24.05.2010,,,Ungarn,Rechtshänder,,Balázs Szoták,Szoták B.
23.09.1966,1989,,England,,,Alan Tabern,Tabern A.
23.09.1980,,,Philippinen,Rechtshänder,,Alex Tagarao,Tagarao A.
26.09.1973,2013,,Ungarn,Rechtshänder,,Gábor Takács,Takács G.
15.11.1989,2012,,Deutschland,Rechtshänder,Evolution Darts Erik Tautfest,Erik Tautfest,Tautfest E.
,2014,,England,Rechtshänder,Target Adrian Lewis Gen 2,Dom Taylor,Taylor D.
27.06.1968,,,Kanada,Rechtshänder,Galaxy 22g,Jacob Taylor,Taylor J.
,,,England,Rechtshänder,,Michael Taylor,Taylor M.
13.08.1960,1986,1997,England,,,Phil Taylor,Taylor P.
22.08.1991,2009,2013,England,Rechtshänder,Target,Scott Taylor,Taylor S.
15.03.1999,2014,2020,Irland,Rechtshänder,,Ciaran Teehan,Teehan C.
10.08.2008,,,England,Rechtshänder,,Mason Teese,Teese M.
28.04.1995,2015,2017,Niederlande,Rechtshänder,23g MasterDarts,Derk Telnekes,Telnekes D.
16.08.1961,2000,2011,England,Rechtshänder,Harrows 21g,Terry Temple,Temple T.
20.04.2000,2007,,Niederlande,Rechtshänder,,Justin van Tergouw,van Tergouw J.
13.05.1985,,,Deutschland,Rechtshänder,,Danny Teßmann,Teßmann D.
13.03.2008,2021,,Deutschland,Rechtshänder,,Mats Theobald,Theobald M.
23.07.1972,,,Wales,Rechtshänder,,Martin Thomas,Thomas M.
09.01.1965,1986,2004-2014,England,Rechtshänder,21g,Garry Thompson,Thompson G.
08.01.1969,1990,2018,Australien,Rechtshänder,Target 23g,Justin Thompson,Thompson J.
17.07.1967,1983,2004,Schottland,Rechtshänder,Red Dragon Robert Thornton 26g,Robert Thornton,Thornton R.
09.01.1967,1987,,Australien,Linkshänder,24g Dennis Priestley Winmau Signature,Shane Tichowitsch,Tichowitsch S.
,2012,,Schweden,Rechtshänder,,Viktor Tingström,Tingström V.
,,,Belgien,Rechtshänder,Cuesoul,Jody Tobback,Tobback J.
06.06.1972,1990,2011,England,Rechtshänder,26g,Mick Todd,Todd M.
12.09.1994,,,Dänemark,Rechtshänder,Winmau 21g,Andreas Toft Jørgensen,Toft Jørgensen A.
05.01.1993,2008,,Schweden,Rechtshänder,,Edwin Torbjörnsson,Torbjörnsson E.
05.09.1980,2013,,Italien,Rechtshänder,Powercore Darts Stefano Tomassetti 20g,Stefano Tomassetti,Tomassetti S.
14.11.2001,,,Deutschland,Rechtshänder,,Christopher Toonders,Toonders C.
06.01.1992,2012,,Philippinen,Linkshänder,One80 Signature Darts 20g,Alexis Toylo,Toylo A.
11.10.1989,2002,,Frankreich,Rechtshänder,Winmau 24g,Thibault Tricole,Tricole T.
24.12.1996,2017,,Niederlande,Rechtshänder,One80 23g,Danny van Trijp,van Trijp D.
29.09.1995,2018,,Österreich,Rechtshänder,19g,Patrick Tringler,Tringler P.
17.06.1999,2007,,Deutschland,Rechtshänder,,Kevin Troppmann,Troppmann K.
17.01.1982,2024,,Italien,,,Michele Turetta,Turetta M.
11.06.1980,1997,,England,,,Aaron Turner,Turner A.
27.05.1969,2006,2013,England,Linkshänder,One80 Signature 22g,Martyn Turner,Turner M.
04.07.1992,,,England,Rechtshänder,,Ross Twell,Twell R.
23.07.1979,,,Philippinen,Rechtshänder,,Gilbert Ulang,Ulang G.
23.05.1988,2004,,Deutschland,Rechtshänder,,Michael Unterbuchner,Unterbuchner M.
14.06.1973,2009,2023,England,Linkshänder,22g,Graham Usher,Usher G.
,,,Türkei,Rechtshänder,,Ümit Uygunsözlü,Uygunsözlü Ü.
,,2010,Niederlande,Rechtshänder,,Wouter Vaes,Vaes W.
16.09.1965,1991,,Brasilien,Rechtshänder,,Artur Valle,Valle A.
14.12.1981,,,Belgien,Rechtshänder,Harrows 21g,Roberto Vandaele,Vandaele R.
01.06.1973,,2022,Belgien,Rechtshänder,,Mario Vandenbogaerde,Vandenbogaerde M.
30.09.1984,,,Belgien,Rechtshänder,,Wouter Vanrolleghem,Vanrolleghem W.
23.04.2002,2015,,Niederlande,Rechtshänder,RedDragon Signature,Gian van Veen,van Veen G.
10.07.1981,2006,,Niederlande,Rechtshänder,,Richard Veenstra,Veenstra R.
01.12.1990,,,Ungarn,Rechtshänder,Glen Durrant 22g,Janos Vegsö,Vegsö J.
15.08.1960,1990,2002-2008,Schottland,Rechtshänder,20g Bullseye,Mike Veitch,Veitch M.
04.12.2002,2015,,Niederlande,Rechtshänder,Winmau,Jurjen van der Velde,van der Velde J.
05.01.2008,2020,,Niederlande,Rechtshänder,,Bradley van der Velden,van der Velden B.
02.07.2000,,,Niederlande,Rechtshänder,,Marvin van Velzen,van Velzen M.
18.02.1977,2009,,Belgien,Rechtshänder,22g Essence,Davyd Venken,Venken D.
,,,England,Rechtshänder,,Craig Venman,Venman C.
03.02.1999,2013,,Niederlande,Rechtshänder,Masterdart Michael van Gerwen 21g,Maikel Verberk,Verberk M.
20.04.2003,,,Südafrika,Rechtshänder,,Stefan Vermaak,Vermaak S.
,2021,,Ungarn,Rechtshänder,,Mihály Vida,Vida M.
,2009,,Italien,Rechtshänder,,Danilo Vigato,Vigato D.
27.03.1982,1998,,Finnland,Rechtshänder,Matchstick 25g,Veijo Viinikka,Viinikka V.
17.02.1967,2003,,Gibraltar,Rechtshänder,Signature 27g,Manuel Vilerio,Vilerio M.
04.12.1981,1999,2014,Finnland,Rechtshänder,,Kim Viljanen,Viljanen K.
18.12.1975,1985,2007,Niederlande,Rechtshänder,Winmau Vincent van der Voort 24g,Vincent van der Voort,van der Voort V.
06.10.1981,2004,,Belgien,Rechtshänder,Grand Slam Geert de Vos 24g,Geert de Vos,de Vos G.
06.07.1990,2004,,Niederlande,Rechtshänder,,Gino Vos,Vos G.
01.09.1992,2007,,Niederlande,Rechtshänder,24g Loxley Signature,Ryan de Vreede,de Vreede R.
02.05.1980,2000,,Polen,Rechtshänder,Cosmo 23g,Lukasz Waclawski,Waclawski L.
06.04.1983,1997,2004,England,Linkshänder,Unicorn James Wade 20g,James Wade,Wade J.
26.12.1984,2000,,Belgien,Rechtshänder,24g,Cedric Waegemans,Waegemans C.
14.06.1965,1991,,Norwegen,Rechtshänder,DataDart Silver Shadow 22g,Robert Wagner,Wagner R.
17.02.1977,2004,Halb-Profi,England,Rechtshänder,Winmau Scott Waites Onyx 23g,Scott Waites,Waites S.
27.08.1993,2016,,Niederlande,Rechtshänderin,Wild Roses,Aletta Wajer,Wajer A.
04.02.1999,,2024,Niederlande,Rechtshänder,,Jitse van der Wal,van der Wal J.
31.10.2006,2020,,England,Rechtshänder,Target Signature 23g,Jenson Walker,Walker J.
22.02.1962,,,Schottland,Linkshänder,Signature 24g,Les Wallace,Wallace L.
24.02.1976,2011,,Schweiz,Rechtshänder,Unicorn T80 21g,Marcel Walpen,Walpen M.
02.02.1965,,,England,Rechtshänder,,Mark Walsh, Walsh M.
28.03.1983,,,England,Rechtshänder,RedDragon Hunters 22g,Scott Walters,Walters S.
10.11.1961,,,England,Rechtshänder,,John Walton,Walton J.
29.11.1984,2008,,Wales,Rechtshänder,,Michael Warburton,Warburton M.
10.12.1988,2006,,England,Rechtshänder,22g,Ben Ward,Ward B.
13.06.1997,2012,2019,England,Rechtshänder,Unicorn 22g,Harry Ward,Ward H.
05.05.1997,,,England,Rechtshänder,Mission Darts,Adam Warner,Warner A.
12.06.1962,2003,,Wales,Rechtshänder,,Wayne Warren,Warren W.
24.03.1962,1980,1993,England,Rechtshänder,RedDragon 22g,Alan Warriner-Little,Warriner-Little A.
09.03.1988,2008,2014,Niederlande,Rechtshänder,,Jermaine Wattimena,Wattimena J.
30.09.,2016,,Deutschland,Rechtshänder,,Yves Wawrzyniak,Wawrzyniak Y.
29.11.1972,1992,,Australien,Linkshänder,,John Weber,Weber J.
21.11.2002,2021,,Deutschland,Rechtshänder,,Leon Weber,Weber L.
10.06.1966,2002,2018,England,Rechtshänder,Cosmos 16g,Darren Webster,Webster D.
12.08.1983,2000,2009,Wales,Linkshänder,Winmau Mark Webster 20g,Mark Webster,Webster M.
03.11.1998,2015,,Australien,Rechtshänder,Designa 24g,Brandon Weening,Weening B.
17.09.1996,2008,,Deutschland,Rechtshänder,Showtime Darts 21g,Marvin Wehder,Wehder M.
06.05.1972,,,Deutschland,Rechtshänder,,Andree Welge,Welge A.
14.08.2001,2021,,Deutschland,Rechtshänder,,Laurin Welk,Welk L.
08.02.1983,2016,,China,Rechtshänder,23g,Lihao Wen,Wen L.
18.09.1994,,2024,Deutschland,Rechtshänder,,Lukas Wenig,Wenig L.
05.06.1975,1989,2012,England,Rechtshänder,Cosmo 22g,Steve West,West S.
27.06.1954,1974,,England,,,Dave Whitcombe,Whitcombe D.
17.08.1970,1990,2010,England,Rechtshänder,Unicorn Maestro 23g,Ian White,White I.
18.02.1986,2007,2019-2020,England,Rechtshänder,Barbarian Signature Darts One80 23g,Conan Whitehead,Whitehead C.
03.03.1969,1984,2004,Australien,Rechtshänder,Red Dragon Eagles 3 22g,Simon Whitlock,Whitlock S.
23.08.1969,1989,1990,USA,Rechtshänder,22g G-Force,Jim Widmayer,Widmayer J.
15.04.1982,,,Niederlande,Rechtshänder,Winmau Bobby George 22g,Willy van de Wiel,van de Wiel W.
12.08.2003,2012,,Deutschland,Rechtshänder,,Leon Wilhelm,Wilhelm L.
09.05.1984,2004,2019,England,Rechtshänder,23g,Carl Wilkinson,Wilkinson C.
22.01.1992,,2022,England,Rechtshänder,,Shaun Wilkinson,Wilkinson S.
27.07.1984,2007,2012,Wales,Rechtshänder,One80 25g,Jim Williams,Williams J.
18.01.2002,2018,2021,Wales,Rechtshänder,Target Lewy Williams Gen 1 25g,Lewis Williams,Williams L.
29.05.1989,2006,2016,England,Rechtshänder,,Ricky Williams,Williams R.
18.01.1990,2019,2022,England,Rechtshänder,Target 25g,Scott Williams,Williams S.
25.02.1972,1978,2012,England,Rechtshänder,,James Wilson,Wilson J.
09.12.1969,,,England,Rechtshänder,,Jason Wilson,Wilson J.
,,,Schottland,,,Jocky Wilson,Wilson J.
08.10.1977,1997,2018,England,Rechtshänder,,Mark Wilson,Wilson M.
05.01.1977,2006,,England,Rechtshänder,,Stu Wilson,Wilson S.
08.01.1990,2009,,Deutschland,Rechtshänder,,Rene Windeler,Windeler R.
27.05.1990,2017,,Niederlande,Rechtshänder,,Jeremy van der Winkel,van der Winkel J.
10.02.1981,1983,2008,England,Rechtshänder,Dean Winstanley 24g Winmau Signature,Dean Winstanley,Winstanley D.
04.06.1995,,,Deutschland,Rechtshänder,,Pascal Wirotius,Wirotius P.
17.04.1995,2018,,Deutschland,Rechtshänder,Luke Humphries 24g,Tim Wolters,Wolters T.
,,,Malaysia,Linkshänder,CosmoDarts,Siik Hwang Wong,Hwang Wong S.
13.10.1988,2008,2018,England,Rechtshänder,Harrows Signature 22g,Luke Woodhouse,Woodhouse L.
09.11.1966,1988,2010,England,Rechtshänder,23g A180 Pecker Darts,Brian Woods,Woods B.
02.08.1984,2005,2019,Wales,Rechtshänder,Cosmo Darts 22g,Jonathan Worsley,Worsley J.
10.03.1970,1995,2008,Schottland,Rechtshänder,,Peter Wright,Wright P.
24.07.1983,2007,,Japan,Rechtshänder,Trinidad 21g,Yuki Yamada,Yamada Y.
12.11.1977,2009,,Japan,Rechtshänder,Dynasty 18g,Nobuhiro Yamamoto,Yamamoto N.
02.02.1973,1992,,USA,,,Darin Young,Young D.
,,,Bahrain,Rechtshänder,,Abdulnasser Yusuf,Yusuf A.
,2017,,China,Rechtshänder,,Qingyu Zhan,Zhan Q.
,,,China,Rechtshänder,,Zizhao Zheng,Zheng Z.
28.10.1981,2016,,China,Rechtshänder,One80 20g,Di Zhuang,Zhuang D.
14.11.1977,,,Deutschland,Rechtshänder,Jens Ziegler Basic 22g,Jens Ziegler,Ziegler J.
08.03.1998,,,China,Rechtshänder,21g,Xiao Chen Zong,Chen Zong X.
22.07.1998,,2019,Niederlande,Linkshänder,Shot Darts,Niels Zonneveld,Zonneveld N.
,2005,,Lettland,Rechtshänder,,Dmitrijs Zukovs,Zukovs D.
26.03.1996,2011,2015,Niederlande,Rechtshänder,Jeffrey de Zwaan Signature Darts 23g,Jeffrey de Zwaan,de Zwaan J.
24.04.1990,1996,,Deutscher,Rechtshänder,24g One80 Daniel Zygla Signature,Daniel Zygla,Zygla D.
